1 threads/block * 150 blocks
thread=0 x=100.000000 sm0=0 sm1=0 5627650578407 5627650585412 5627650592405 5627650599398 5627650606391 5627650613384 5627650620377 5627650627370 5627650634363 5627650641356 5627650648349 5627650655342 5627650662335 5627650669328 5627650676321 5627650683314 5627650690307 5627650697300 5627650704293 5627650711286 5627650718279 5627650725272 5627650732265 5627650739258 5627650746251 5627650753244 5627650760237 5627650767230 5627650774223 5627650781216 5627650788209 5627650795202 5627650802195 5627650809188 5627650816181 5627650823174 5627650830167 5627650837160 5627650844153 5627650851146 5627650858139 5627650865132 5627650872125 5627650879118 5627650886111 5627650893104 5627650900097 5627650907090 5627650914083 5627650921076 5627650928069 5627650935062 5627650942055 5627650949048 5627650956041 5627650963034 5627650970027 5627650977020 5627650984013 5627650991006 5627650997999 5627651004992 5627651011985 5627651018978 5627651025971 5627651032964 5627651039957 5627651046950 5627651053943 5627651060936 5627651067929 5627651074922 5627651081915 5627651088908 5627651095901 5627651102894 5627651109887 5627651116880 5627651123873 5627651130866 5627651137859 5627651144852 5627651151845 5627651158838 5627651165831 5627651172824 5627651179817 5627651186810 5627651193803 5627651200796 5627651207789 5627651214782 5627651221775 5627651228768 5627651235761 5627651242754 5627651249747 5627651256740 5627651263733 5627651270726
thread=1 x=100.000000 sm0=2 sm1=2 5627523355611 5627523362616 5627523369609 5627523376602 5627523383595 5627523390588 5627523397581 5627523404574 5627523411567 5627523418560 5627523425553 5627523432546 5627523439539 5627523446532 5627523453525 5627523460518 5627523467511 5627523474504 5627523481497 5627523488490 5627523495483 5627523502476 5627523509469 5627523516462 5627523523455 5627523530448 5627523537441 5627523544434 5627523551427 5627523558420 5627523565413 5627523572406 5627523579399 5627523586392 5627523593385 5627523600378 5627523607371 5627523614364 5627523621357 5627523628350 5627523635343 5627523642336 5627523649329 5627523656322 5627523663315 5627523670308 5627523677301 5627523684294 5627523691287 5627523698280 5627523705273 5627523712266 5627523719259 5627523726252 5627523733245 5627523740238 5627523747231 5627523754224 5627523761217 5627523768210 5627523775203 5627523782196 5627523789189 5627523796182 5627523803175 5627523810168 5627523817161 5627523824154 5627523831147 5627523838140 5627523845133 5627523852126 5627523859119 5627523866112 5627523873105 5627523880098 5627523887091 5627523894084 5627523901077 5627523908070 5627523915063 5627523922056 5627523929049 5627523936042 5627523943035 5627523950028 5627523957021 5627523964014 5627523971007 5627523978000 5627523984993 5627523991986 5627523998979 5627524005972 5627524012965 5627524019958 5627524026951 5627524033944 5627524040937 5627524047930
thread=2 x=100.000000 sm0=4 sm1=4 5627548401137 5627548408142 5627548415135 5627548422128 5627548429121 5627548436114 5627548443107 5627548450100 5627548457093 5627548464086 5627548471079 5627548478072 5627548485065 5627548492058 5627548499051 5627548506044 5627548513037 5627548520030 5627548527023 5627548534016 5627548541009 5627548548002 5627548554995 5627548561988 5627548568981 5627548575974 5627548582967 5627548589960 5627548596953 5627548603946 5627548610939 5627548617932 5627548624925 5627548631918 5627548638911 5627548645904 5627548652897 5627548659890 5627548666883 5627548673876 5627548680869 5627548687862 5627548694855 5627548701848 5627548708841 5627548715834 5627548722827 5627548729820 5627548736813 5627548743806 5627548750799 5627548757792 5627548764785 5627548771778 5627548778771 5627548785764 5627548792757 5627548799750 5627548806743 5627548813736 5627548820729 5627548827722 5627548834715 5627548841708 5627548848701 5627548855694 5627548862687 5627548869680 5627548876673 5627548883666 5627548890659 5627548897652 5627548904645 5627548911638 5627548918631 5627548925624 5627548932617 5627548939610 5627548946603 5627548953596 5627548960589 5627548967582 5627548974575 5627548981568 5627548988561 5627548995554 5627549002547 5627549009540 5627549016533 5627549023526 5627549030519 5627549037512 5627549044505 5627549051498 5627549058491 5627549065484 5627549072477 5627549079470 5627549086463 5627549093456
thread=3 x=100.000000 sm0=6 sm1=6 5627513294320 5627513301325 5627513308318 5627513315311 5627513322304 5627513329297 5627513336290 5627513343283 5627513350276 5627513357269 5627513364262 5627513371255 5627513378248 5627513385241 5627513392234 5627513399227 5627513406220 5627513413213 5627513420206 5627513427199 5627513434192 5627513441185 5627513448178 5627513455171 5627513462164 5627513469157 5627513476150 5627513483143 5627513490136 5627513497129 5627513504122 5627513511115 5627513518108 5627513525101 5627513532094 5627513539087 5627513546080 5627513553073 5627513560066 5627513567059 5627513574052 5627513581045 5627513588038 5627513595031 5627513602024 5627513609017 5627513616010 5627513623003 5627513629996 5627513636989 5627513643982 5627513650975 5627513657968 5627513664961 5627513671954 5627513678947 5627513685940 5627513692933 5627513699926 5627513706919 5627513713912 5627513720905 5627513727898 5627513734891 5627513741884 5627513748877 5627513755870 5627513762863 5627513769856 5627513776849 5627513783842 5627513790835 5627513797828 5627513804821 5627513811814 5627513818807 5627513825800 5627513832793 5627513839786 5627513846779 5627513853772 5627513860765 5627513867758 5627513874751 5627513881744 5627513888737 5627513895730 5627513902723 5627513909716 5627513916709 5627513923702 5627513930695 5627513937688 5627513944681 5627513951674 5627513958667 5627513965660 5627513972653 5627513979646 5627513986639
thread=4 x=100.000000 sm0=8 sm1=8 5627489793291 5627489800296 5627489807289 5627489814282 5627489821275 5627489828268 5627489835261 5627489842254 5627489849247 5627489856240 5627489863233 5627489870226 5627489877219 5627489884212 5627489891205 5627489898198 5627489905191 5627489912184 5627489919177 5627489926170 5627489933163 5627489940156 5627489947149 5627489954142 5627489961135 5627489968128 5627489975121 5627489982114 5627489989107 5627489996100 5627490003093 5627490010086 5627490017079 5627490024072 5627490031065 5627490038058 5627490045051 5627490052044 5627490059037 5627490066030 5627490073023 5627490080016 5627490087009 5627490094002 5627490100995 5627490107988 5627490114981 5627490121974 5627490128967 5627490135960 5627490142953 5627490149946 5627490156939 5627490163932 5627490170925 5627490177918 5627490184911 5627490191904 5627490198897 5627490205890 5627490212883 5627490219876 5627490226869 5627490233862 5627490240855 5627490247848 5627490254841 5627490261834 5627490268827 5627490275820 5627490282813 5627490289806 5627490296799 5627490303792 5627490310785 5627490317778 5627490324771 5627490331764 5627490338757 5627490345750 5627490352743 5627490359736 5627490366729 5627490373722 5627490380715 5627490387708 5627490394701 5627490401694 5627490408687 5627490415680 5627490422673 5627490429666 5627490436659 5627490443652 5627490450645 5627490457638 5627490464631 5627490471624 5627490478617 5627490485610
thread=5 x=100.000000 sm0=10 sm1=10 5627691649763 5627691656768 5627691663761 5627691670754 5627691677747 5627691684740 5627691691733 5627691698726 5627691705719 5627691712712 5627691719705 5627691726698 5627691733691 5627691740684 5627691747677 5627691754670 5627691761663 5627691768656 5627691775649 5627691782642 5627691789635 5627691796628 5627691803621 5627691810614 5627691817607 5627691824600 5627691831593 5627691838586 5627691845579 5627691852572 5627691859565 5627691866558 5627691873551 5627691880544 5627691887537 5627691894530 5627691901523 5627691908516 5627691915509 5627691922502 5627691929495 5627691936488 5627691943481 5627691950474 5627691957467 5627691964460 5627691971453 5627691978446 5627691985439 5627691992432 5627691999425 5627692006418 5627692013411 5627692020404 5627692027397 5627692034390 5627692041383 5627692048376 5627692055369 5627692062362 5627692069355 5627692076348 5627692083341 5627692090334 5627692097327 5627692104320 5627692111313 5627692118306 5627692125299 5627692132292 5627692139285 5627692146278 5627692153271 5627692160264 5627692167257 5627692174250 5627692181243 5627692188236 5627692195229 5627692202222 5627692209215 5627692216208 5627692223201 5627692230194 5627692237187 5627692244180 5627692251173 5627692258166 5627692265159 5627692272152 5627692279145 5627692286138 5627692293131 5627692300124 5627692307117 5627692314110 5627692321103 5627692328096 5627692335089 5627692342082
thread=6 x=100.000000 sm0=12 sm1=12 5627289208204 5627289215209 5627289222202 5627289229195 5627289236188 5627289243181 5627289250174 5627289257167 5627289264160 5627289271153 5627289278146 5627289285139 5627289292132 5627289299125 5627289306118 5627289313111 5627289320104 5627289327097 5627289334090 5627289341083 5627289348076 5627289355069 5627289362062 5627289369055 5627289376048 5627289383041 5627289390034 5627289397027 5627289404020 5627289411013 5627289418006 5627289424999 5627289431992 5627289438985 5627289445978 5627289452971 5627289459964 5627289466957 5627289473950 5627289480943 5627289487936 5627289494929 5627289501922 5627289508915 5627289515908 5627289522901 5627289529894 5627289536887 5627289543880 5627289550873 5627289557866 5627289564859 5627289571852 5627289578845 5627289585838 5627289592831 5627289599824 5627289606817 5627289613810 5627289620803 5627289627796 5627289634789 5627289641782 5627289648775 5627289655768 5627289662761 5627289669754 5627289676747 5627289683740 5627289690733 5627289697726 5627289704719 5627289711712 5627289718705 5627289725698 5627289732691 5627289739684 5627289746677 5627289753670 5627289760663 5627289767656 5627289774649 5627289781642 5627289788635 5627289795628 5627289802621 5627289809614 5627289816607 5627289823600 5627289830593 5627289837586 5627289844579 5627289851572 5627289858565 5627289865558 5627289872551 5627289879544 5627289886537 5627289893530 5627289900523
thread=7 x=100.000000 sm0=14 sm1=14 5627650578421 5627650585426 5627650592419 5627650599412 5627650606405 5627650613398 5627650620391 5627650627384 5627650634377 5627650641370 5627650648363 5627650655356 5627650662349 5627650669342 5627650676335 5627650683328 5627650690321 5627650697314 5627650704307 5627650711300 5627650718293 5627650725286 5627650732279 5627650739272 5627650746265 5627650753258 5627650760251 5627650767244 5627650774237 5627650781230 5627650788223 5627650795216 5627650802209 5627650809202 5627650816195 5627650823188 5627650830181 5627650837174 5627650844167 5627650851160 5627650858153 5627650865146 5627650872139 5627650879132 5627650886125 5627650893118 5627650900111 5627650907104 5627650914097 5627650921090 5627650928083 5627650935076 5627650942069 5627650949062 5627650956055 5627650963048 5627650970041 5627650977034 5627650984027 5627650991020 5627650998013 5627651005006 5627651011999 5627651018992 5627651025985 5627651032978 5627651039971 5627651046964 5627651053957 5627651060950 5627651067943 5627651074936 5627651081929 5627651088922 5627651095915 5627651102908 5627651109901 5627651116894 5627651123887 5627651130880 5627651137873 5627651144866 5627651151859 5627651158852 5627651165845 5627651172838 5627651179831 5627651186824 5627651193817 5627651200810 5627651207803 5627651214796 5627651221789 5627651228782 5627651235775 5627651242768 5627651249761 5627651256754 5627651263747 5627651270740
thread=8 x=100.000000 sm0=16 sm1=16 5627523355623 5627523362628 5627523369621 5627523376614 5627523383607 5627523390600 5627523397593 5627523404586 5627523411579 5627523418572 5627523425565 5627523432558 5627523439551 5627523446544 5627523453537 5627523460530 5627523467523 5627523474516 5627523481509 5627523488502 5627523495495 5627523502488 5627523509481 5627523516474 5627523523467 5627523530460 5627523537453 5627523544446 5627523551439 5627523558432 5627523565425 5627523572418 5627523579411 5627523586404 5627523593397 5627523600390 5627523607383 5627523614376 5627523621369 5627523628362 5627523635355 5627523642348 5627523649341 5627523656334 5627523663327 5627523670320 5627523677313 5627523684306 5627523691299 5627523698292 5627523705285 5627523712278 5627523719271 5627523726264 5627523733257 5627523740250 5627523747243 5627523754236 5627523761229 5627523768222 5627523775215 5627523782208 5627523789201 5627523796194 5627523803187 5627523810180 5627523817173 5627523824166 5627523831159 5627523838152 5627523845145 5627523852138 5627523859131 5627523866124 5627523873117 5627523880110 5627523887103 5627523894096 5627523901089 5627523908082 5627523915075 5627523922068 5627523929061 5627523936054 5627523943047 5627523950040 5627523957033 5627523964026 5627523971019 5627523978012 5627523985005 5627523991998 5627523998991 5627524005984 5627524012977 5627524019970 5627524026963 5627524033956 5627524040949 5627524047942
thread=9 x=100.000000 sm0=18 sm1=18 5627548401149 5627548408154 5627548415147 5627548422140 5627548429133 5627548436126 5627548443119 5627548450112 5627548457105 5627548464098 5627548471091 5627548478084 5627548485077 5627548492070 5627548499063 5627548506056 5627548513049 5627548520042 5627548527035 5627548534028 5627548541021 5627548548014 5627548555007 5627548562000 5627548568993 5627548575986 5627548582979 5627548589972 5627548596965 5627548603958 5627548610951 5627548617944 5627548624937 5627548631930 5627548638923 5627548645916 5627548652909 5627548659902 5627548666895 5627548673888 5627548680881 5627548687874 5627548694867 5627548701860 5627548708853 5627548715846 5627548722839 5627548729832 5627548736825 5627548743818 5627548750811 5627548757804 5627548764797 5627548771790 5627548778783 5627548785776 5627548792769 5627548799762 5627548806755 5627548813748 5627548820741 5627548827734 5627548834727 5627548841720 5627548848713 5627548855706 5627548862699 5627548869692 5627548876685 5627548883678 5627548890671 5627548897664 5627548904657 5627548911650 5627548918643 5627548925636 5627548932629 5627548939622 5627548946615 5627548953608 5627548960601 5627548967594 5627548974587 5627548981580 5627548988573 5627548995566 5627549002559 5627549009552 5627549016545 5627549023538 5627549030531 5627549037524 5627549044517 5627549051510 5627549058503 5627549065496 5627549072489 5627549079482 5627549086475 5627549093468
